		Connectivity & Expandability			Cost Considerations			Display Quality			GOAL		Laptop Alternatives							Main Criteria						Performance Capabilities					Portability Factors		
		Port Selection	Wireless Capabilities	Purchase Price	Value for Money	Color Accuracy	Resolution & Size	Select Best Laptop for DS & AI Student	Acer Swift 3	ASUS ROG Zephyrus G14	Dell XPS 15	Lenovo ThinkPad P16	MacBook Pro 16"	Microsoft Surface Laptop Studio	Connectivity & Expandability	Cost Considerations	Display Quality	Performance Capabilities	Portability Factors	Graphics Processing (GPU)	Memory (RAM)	Processor (CPU)	Storage	Battery Life	Weight & Form Factor
Connectivity & Expandability	Port Selection	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Wireless Capabilities	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Cost Considerations	Purchase Price	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Value for Money	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.375000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Display Quality	Color Accuracy	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016836	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Resolution & Size	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GOAL	Select Best Laptop for DS & AI Student	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Laptop Alternatives	Acer Swift 3	0.067193	0.100000	0.434023	0.170187	0.043022	0.036856	0.038410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039064	0.118073	0.019456	0.023275	0.095201	0.021077	0.083333	0.040552	0.088235	0.080978	0.409248
	ASUS ROG Zephyrus G14	0.118776	0.200000	0.199584	0.310643	0.073454	0.090007	0.060370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072925	0.141439	0.042245	0.090189	0.062975	0.280494	0.083333	0.097119	0.176470	0.080978	0.215895
	Dell XPS 15	0.118776	0.100000	0.116723	0.170187	0.126128	0.158606	0.048248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056259	0.078410	0.073890	0.072320	0.069278	0.128895	0.166667	0.139392	0.176470	0.151042	0.113583
	Lenovo ThinkPad P16	0.287549	0.200000	0.066474	0.089398	0.209438	0.277963	0.077694	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.129183	0.041834	0.127561	0.193423	0.021214	0.401758	0.333333	0.425866	0.352941	0.046587	0.034108
	MacBook Pro 16"	0.288929	0.200000	0.066474	0.089398	0.345603	0.277963	0.059426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.129643	0.041834	0.150255	0.063371	0.154640	0.070813	0.166667	0.169908	0.176470	0.407127	0.113583
	Microsoft Surface Laptop Studio	0.118776	0.200000	0.116723	0.170187	0.202356	0.158606	0.049185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072925	0.078410	0.086595	0.057421	0.096693	0.096964	0.166667	0.127163	0.029412	0.233286	0.113583
Main Criteria	Connectivity & Expandability	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026627	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
