Net: Toplevel network.,Parameter Value,Distance,Acer Swift 3,ASUS ROG Zephyrus G14,Dell XPS 15,Lenovo ThinkPad P16,"MacBook Pro 16""",Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
Original Values,0.500000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Port Selection:upper,0.900000,0.011726,0.114532,0.179380,0.145145,0.234947,0.180172,0.145824,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.008319,0.008122,0.008129,0.001894,0.011726,0.011795,0.011865,0.008167,2.000000
Wireless Capabilities:upper,0.900000,0.023452,0.116629,0.184571,0.143945,0.229352,0.174489,0.151014,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.016637,0.016245,0.016219,0.003789,0.023452,0.023180,0.023452,0.016370,0.000000
Purchase Price:upper,0.900000,0.342893,0.154743,0.164478,0.136738,0.229649,0.174845,0.139547,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,4.000000,3.000000,6.000000,1.000000,2.000000,5.000000,0.079024,0.096382,0.089319,0.039512,0.342893,0.292709,0.342893,0.099089,6.000000
Value for Money:upper,0.900000,0.114298,0.102061,0.186654,0.147414,0.234226,0.179422,0.150223,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.026341,0.032127,0.033145,0.013171,0.114298,0.121225,0.129047,0.034586,0.000000
Color Accuracy:upper,0.900000,0.030661,0.115730,0.179772,0.142120,0.227544,0.183744,0.151089,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.019000,0.018038,0.017991,0.005538,0.030661,0.030198,0.030661,0.018199,2.000000
Resolution & Size:upper,0.900000,0.015331,0.114982,0.181779,0.146057,0.235851,0.175545,0.145786,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,4.000000,1.000000,3.000000,5.000000,0.009500,0.009019,0.009031,0.002769,0.015331,0.015449,0.015569,0.009084,2.000000
Select Best Laptop for DS & AI Student:upper,0.900000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Acer Swift 3:upper,0.900000,6.142563,0.823046,0.036222,0.028949,0.046616,0.035656,0.029511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,3.000000,6.000000,2.000000,4.000000,5.000000,1.415630,1.690427,1.362570,0.707815,6.142563,1.508754,6.142563,4.357094,10.000000
ASUS ROG Zephyrus G14:upper,0.900000,3.617199,0.023046,0.836222,0.028949,0.046616,0.035656,0.029511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,1.000000,5.000000,2.000000,3.000000,4.000000,1.310224,1.269533,1.325761,0.655112,3.617199,1.333333,4.000000,3.936200,2.000000
Dell XPS 15:upper,0.900000,4.726976,0.023046,0.036222,0.828949,0.046616,0.035656,0.029511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,1.000000,2.000000,4.000000,5.000000,1.368409,1.454496,1.345341,0.684204,4.726976,1.405379,4.726976,4.121163,8.000000
Lenovo ThinkPad P16:upper,0.900000,2.632267,0.023046,0.036222,0.028949,0.846616,0.035656,0.029511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,1.227069,1.105378,1.300526,0.613534,2.632267,1.333333,4.000000,3.772045,0.000000
"MacBook Pro 16"":upper",0.900000,3.687374,0.023046,0.036222,0.028949,0.046616,0.835656,0.029511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,2.000000,1.000000,4.000000,1.314755,1.281229,1.327226,0.657378,3.687374,1.333333,4.000000,3.947896,4.000000
Microsoft Surface Laptop Studio:upper,0.900000,4.621749,0.023046,0.036222,0.028949,0.046616,0.035656,0.829511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,2.000000,4.000000,1.000000,1.363914,1.436958,1.343766,0.681957,4.621749,1.395930,4.621749,4.103625,6.000000
Connectivity & Expandability:upper,0.900000,0.363513,0.085549,0.152903,0.118963,0.253309,0.243084,0.146191,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.170067,0.175163,0.176692,0.064806,0.363513,0.307604,0.363513,0.201295,2.000000
