Net: Toplevel network.,D(Normal) Acer Swift 3,D(Normal) ASUS ROG Zephyrus G14,D(Normal) Dell XPS 15,D(Normal) Lenovo ThinkPad P16,"D(Normal) MacBook Pro 16""",D(Normal) Microsoft Surface Laptop Studio,Total,Calc Err
Original,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.000000,0.000000
Port Selection:upper,-0.001747,-0.004326,0.001000,0.004662,0.004736,-0.004326,0.009254,0.000000
Wireless Capabilities:upper,0.003494,0.008651,-0.002000,-0.009325,-0.009472,0.008651,0.018508,0.000000
Purchase Price:upper,0.098780,-0.041580,-0.020017,-0.008583,-0.008583,-0.020017,0.111513,0.000000
Value for Money:upper,-0.032927,0.013860,0.006672,0.002861,0.002861,0.006672,0.037171,0.000000
Color Accuracy:upper,0.001246,-0.003344,-0.006562,-0.013844,0.013666,0.008839,0.022635,0.000000
Resolution & Size:upper,-0.000623,0.001672,0.003281,0.006922,-0.006833,-0.004419,0.011317,0.000000
Select Best Laptop for DS & AI Student:upper,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Acer Swift 3:upper,1.769538,-0.362220,-0.289489,-0.466164,-0.356556,-0.295108,1.943657,0.000000
ASUS ROG Zephyrus G14:upper,-0.230462,1.637780,-0.289489,-0.466164,-0.356556,-0.295108,1.802989,0.000000
Dell XPS 15:upper,-0.230462,-0.362220,1.710511,-0.466164,-0.356556,-0.295108,1.881939,0.000000
Lenovo ThinkPad P16:upper,-0.230462,-0.362220,-0.289489,1.533836,-0.356556,-0.295108,1.683744,0.000000
"MacBook Pro 16"":upper",-0.230462,-0.362220,-0.289489,-0.466164,1.643444,-0.295108,1.809261,0.000000
Microsoft Surface Laptop Studio:upper,-0.230462,-0.362220,-0.289489,-0.466164,-0.356556,1.704892,1.875958,0.000000
Connectivity & Expandability:upper,-0.074204,-0.070519,-0.064454,0.050568,0.162016,-0.003406,0.208450,0.000000
Cost Considerations:upper,0.241829,0.203536,0.024152,-0.298830,-0.189222,0.018534,0.475331,0.000000
Display Quality:upper,-0.152640,-0.193242,0.006070,0.044078,0.244463,0.051270,0.353570,0.000000
Performance Capabilities:upper,-0.137361,-0.001463,-0.000208,0.307529,-0.103072,-0.065425,0.358258,0.000000
