Net: Toplevel network.,Parameter Value,Distance,Normal Acer Swift 3,Normal ASUS ROG Zephyrus G14,Normal Dell XPS 15,Normal Lenovo ThinkPad P16,"Normal MacBook Pro 16""",Normal Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1,Error
Original Values,0.500000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Port Selection,0.950000,0.004164,0.114445,0.179164,0.145195,0.235180,0.180409,0.145607,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.009358,0.009138,0.009147,0.002131,0.013192,0.013279,0.013368,0.009194,2.000000,0.000463
Wireless Capabilities,0.950000,0.008329,0.116804,0.185003,0.143845,0.228886,0.174016,0.151447,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.018717,0.018275,0.018243,0.004262,0.026384,0.026040,0.026384,0.018435,0.000000,0.000925
Purchase Price,0.993750,0.055059,0.164004,0.160580,0.134861,0.228844,0.174040,0.137670,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,3.000000,4.000000,6.000000,1.000000,2.000000,5.000000,0.097545,0.118972,0.108650,0.048773,0.423259,0.349330,0.423259,0.123175,8.000000,0.000697
Value for Money,0.975000,0.017656,0.099591,0.187694,0.147914,0.234441,0.179637,0.150723,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.031280,0.038151,0.039605,0.015640,0.135728,0.145610,0.157044,0.041704,0.000000,0.000929
Color Accuracy,0.975000,0.010752,0.115823,0.179522,0.141628,0.226506,0.184769,0.151752,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.022563,0.021420,0.021355,0.006576,0.036410,0.035759,0.036410,0.021648,2.000000,0.000566
Resolution & Size,0.950000,0.005093,0.114951,0.181863,0.146221,0.236197,0.175203,0.145565,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,4.000000,1.000000,3.000000,5.000000,0.010688,0.010146,0.010162,0.003115,0.017247,0.017397,0.017550,0.010228,2.000000,0.000566
Select Best Laptop for DS & AI Student,0.950000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Acer Swift 3,0.999609,0.971069,0.999309,0.000141,0.000113,0.000182,0.000139,0.000115,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,3.000000,6.000000,2.000000,4.000000,5.000000,1.768155,2.111383,1.928472,0.884078,7.672206,1.996877,1279.000000,1067.112034,10.000000,0.000759
ASUS ROG Zephyrus G14,0.999609,0.900790,0.000090,0.999360,0.000113,0.000182,0.000139,0.000115,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,1.000000,5.000000,2.000000,3.000000,4.000000,1.636500,1.585677,1.895116,0.818250,4.517967,1.996877,1279.000000,1066.586328,2.000000,0.000704
Dell XPS 15,0.999609,0.940234,0.000090,0.000141,0.999332,0.000182,0.000139,0.000115,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,1.000000,2.000000,4.000000,5.000000,1.709174,1.816700,1.913053,0.854587,5.904103,1.996877,1279.000000,1066.817351,8.000000,0.000735
Lenovo ThinkPad P16,0.999609,0.841214,0.000090,0.000141,0.000113,0.999401,0.000139,0.000115,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,1.532638,1.380643,1.871321,0.766319,3.287764,1.996877,1279.000000,1066.381294,0.000000,0.000658
"MacBook Pro 16""",0.999609,0.903924,0.000090,0.000141,0.000113,0.000182,0.999358,0.000115,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,2.000000,1.000000,4.000000,1.642160,1.600285,1.896474,0.821080,4.605616,1.996877,1279.000000,1066.600936,4.000000,0.000707
Microsoft Surface Laptop Studio,0.999609,0.937246,0.000090,0.000141,0.000113,0.000182,0.000139,0.999334,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,2.000000,4.000000,1.000000,1.703560,1.794794,1.911627,0.851780,5.772672,1.996877,1279.000000,1066.795445,6.000000,0.000733
Connectivity & Expandability,0.996875,0.103574,0.078361,0.146071,0.112719,0.258208,0.258780,0.145861,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,2.000000,1.000000,4.000000,0.211255,0.217586,0.221013,0.080502,0.451551,0.380907,0.470520,0.260912,4.000000,0.000651
Cost Considerations,0.998437,0.236923,0.235768,0.282560,0.156783,0.084134,0.083963,0.156792,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,2.000000,1.000000,4.000000,5.000000,6.000000,3.000000,0.486527,0.486675,0.487229,0.148948,1.046043,0.939096,1.770369,0.774275,14.000000,0.000743
Display Quality,0.998437,0.176233,0.039150,0.084791,0.147770,0.255052,0.300128,0.173109,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,4.000000,2.000000,1.000000,3.000000,0.344801,0.360652,0.414932,0.121850,0.683480,0.985632,1.943344,0.675189,8.000000,0.000552
