Net: Toplevel network.,Parameter Value,Score,Raw Score,Acer Swift 3,ASUS ROG Zephyrus G14,Dell XPS 15,Lenovo ThinkPad P16,"MacBook Pro 16""",Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
Original Values,0.500000,0.000000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Port Selection:upper,0.812681,0.361875,0.361875,0.114685,0.179758,0.145057,0.234540,0.179759,0.146201,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.367025,0.171488,0.338152,0.361875,1.000000,2.000000,1.000000,0.171501,10.000000
Wireless Capabilities:upper,0.990000,0.000000,0.000000,0.116943,0.185349,0.143765,0.228513,0.173637,0.151793,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.016141,0.181779,0.181809,0.004641,1.000000,1.000000,0.026729,0.015301,0.000000
Purchase Price:upper,0.585874,0.824746,0.824746,0.123714,0.177540,0.143026,0.232345,0.177541,0.145835,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.839992,0.185417,0.351695,0.824746,1.000000,2.000000,1.000000,0.185511,10.000000
Value for Money:upper,0.990000,0.000000,0.000000,0.099097,0.187902,0.148014,0.234484,0.179680,0.150823,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.028999,0.202330,0.203921,0.016134,1.000000,1.000000,0.162810,0.039462,0.000000
Color Accuracy:upper,0.666600,0.660000,0.660000,0.115439,0.180553,0.143651,0.230776,0.180555,0.149026,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.666441,0.172516,0.339183,0.660000,1.000000,2.000000,1.000000,0.172544,10.000000
Resolution & Size:upper,0.865127,0.254844,0.254844,0.115004,0.181721,0.145943,0.235610,0.175783,0.145940,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.261902,0.173076,0.339744,0.254844,1.000000,2.000000,1.000000,0.173110,10.000000
Select Best Laptop for DS & AI Student:upper,0.990000,0.000000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Acer Swift 3:upper,0.514336,0.970742,0.970742,0.140600,0.175917,0.140594,0.226399,0.173166,0.143323,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,5.000000,3.000000,6.000000,2.000000,4.000000,1.017249,0.222474,0.385780,0.970742,1.000000,2.000000,1.000000,0.223038,10.000000
ASUS ROG Zephyrus G14:upper,0.524720,0.949551,0.949551,0.109534,0.221596,0.137588,0.221558,0.169464,0.140259,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,2.000000,5.000000,3.000000,4.000000,1.023228,0.236884,0.400641,0.949551,1.000000,2.000000,1.000000,0.238598,10.000000
Dell XPS 15:upper,0.501407,0.997129,0.997129,0.114907,0.180601,0.147151,0.232426,0.177776,0.147139,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,1.001527,0.171313,0.337960,0.997129,1.000000,2.000000,1.000000,0.171319,10.000000
Lenovo ThinkPad P16:upper,0.990000,0.000000,0.000000,0.002305,0.003622,0.002895,0.984662,0.003566,0.002951,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,1.358556,1.357421,1.653443,0.751580,3.224528,1.921569,49.000000,33.204088,0.000000
"MacBook Pro 16"":upper",0.501416,0.997109,0.997109,0.114905,0.180597,0.144335,0.232422,0.180606,0.147136,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,1.001347,0.170731,0.337387,0.997109,1.000000,2.000000,1.000000,0.170737,10.000000
Microsoft Surface Laptop Studio:upper,0.514911,0.969570,0.969570,0.111795,0.175709,0.140428,0.226131,0.172962,0.172975,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.994991,0.191518,0.358560,0.969570,1.000000,2.000000,1.000000,0.192281,10.000000
